Input_Name,status,rag_top1,rag_candidates,standard_name,brand,power_source,specification,fallback_used,gt_standard_name,is_correct
180mm 샌더,success,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 별렌치세트, 스패너세트",샌더,,,180mm,False,샌더,True
LED 손전등,success,LED손전등,"LED손전등, LED투광기, LED작업등, 레이저수평기, 라돈측정기",LED손전등,,,,False,LED손전등,True
경랑몽키(8인치),success,옵셋렌치,"옵셋렌치, 앵글그라인더, 다이아고날플라이어, 플라이어렌치, 굽은노즈플라이어",앵글그라인더,,,8인치,False,몽키렌치,False
고압세척기,success,고압세척기,"고압세척기, 타일컷터, 편구스패너, 와이어스트리퍼, 전선릴",고압세척기,,,,False,고압세척기,True
바이스플라이어,success,스냅링플라이어,"스냅링플라이어, 앵글그라인더, 다이아고날플라이어, 플라이어렌치, 옵셋렌치",스냅링플라이어,,,,False,바이스그립플라이어,False
보쉬 pushdrive,success,SDS드릴비트,"SDS드릴비트, 고속절단기, 정밀드라이버세트, 철공용드릴비트, 목공용드릴비트",정밀드라이버세트,보쉬(BOSCH),,,False,전동드라이버,False
보쉬 수공구세트,success,목공줄,"목공줄, 공구세트, 기어렌치세트, 전동공구세트, 스패너세트",공구세트,보쉬(BOSCH),,,False,공구세트,True
임팩트 진동드릴,success,임팩트드릴,"임팩트드릴, 만능렌치, 그립망치, 빠루망치, 납볼망치",임팩트드릴,,,,False,,
저소음 컴프레서,success,옵셋렌치,"옵셋렌치, 스냅링플라이어, 플라이어렌치, 굽은노즈플라이어, 충전해머드릴",옵셋렌치,,,,True,,
"전동드릴(무선, 보쉬)",success,전동드릴,"전동드릴, 전선릴, 편구스패너, 쇠지렛대, 충전해머드릴",전동드릴,보쉬,충전식(무선),,False,충전드릴,False
충전 드라이버/렌치,success,충전임팩트드라이버,"충전임팩트드라이버, 충전드릴, 배터리팩, 충전해머드릴, 드라이버세트",충전임팩트드라이버,,충전식(무선),,False,,
충전 드라이버드릴,success,충전드릴,"충전드릴, 충전해머드릴, 충전임팩트드라이버, 드라이버세트, 전동드릴",충전드릴,,충전식(무선),,False,,
충전 멀티커터,success,충전임팩트드라이버,"충전임팩트드라이버, 배터리팩, 충전드릴, 전기인두, 멀티테스터",멀티테스터,,,,False,,
(1)접톱,success,원형톱,"원형톱, 목공줄, 스패너세트, 쇠톱, T렌치세트",쇠톱,,,,False,접톱,False
(11)육각렌치,success,와이어스트리퍼,"와이어스트리퍼, 편구스패너, 볼렌치세트, 라쳇렌치세트, 전동타카",볼렌치세트,,,,False,,
(12)검전기,success,전기인두,"전기인두, 배터리팩, 충전임팩트드라이버, 충전드릴, 철공용드릴비트",전기인두,,,,False,,
(13)망치,success,T렌치세트,"T렌치세트, 소켓렌치세트, 기어렌치세트, 스패너세트, 볼렌치세트",볼렌치세트,,,,False,망치,False
(14)커터칼,success,냉동라쳇렌치,"냉동라쳇렌치, 바이스그립플라이어, 버니어캘리퍼스, 앤드컷팅니퍼, 다이아고날플라이어",버니어캘리퍼스,,,,False,,
(15)펜치,success,T렌치세트,"T렌치세트, 기어렌치세트, 스패너세트, 소켓렌치세트, 납볼망치",T렌치세트,,,,False,펜치,False
(16)롱노우즈 플라이어(라디오펜치),success,소켓렌치세트,"소켓렌치세트, 전동공구세트, 볼렌치세트, 편구스패너, 와이어스트리퍼",플라이어,,,,False,롱노즈플라이어,False
(17)스패너,success,와이어스트리퍼,"와이어스트리퍼, 편구스패너, 타일컷터, 양용드라이버, 전선릴",편구스패너,,,,False,,
(18)손전등,success,전동공구세트,"전동공구세트, 기어렌치세트, 공구세트, T렌치세트, 소켓렌치세트",소켓렌치세트,,,,False,LED손전등,False
(19)소켓렌치 세트,success,기어렌치세트,"기어렌치세트, 육각렌치세트, 조합렌치세트, T렌치세트, 공구함세트",기어렌치세트,,,,False,,
(20)유선 전동드릴,success,전동공구세트,"전동공구세트, 드릴비트세트, 만능렌치, 스패너세트, 소켓렌치세트",전동공구세트,,유선,20,False,전동드릴,False
