model_name,Input_Name,status,rag_top1,rag_candidates,standard_name,brand,power_source,specification,fallback_used,gt_standard_name,is_correct
granite4.1:8b,180mm 샌더,success,샌더,"샌더, 앵글그라인더, 스패너세트, 편구스패너, 스패너, 플라이어렌치, 육각렌치, 충전드릴, 육각렌치세트, 클램프미터, 냉동라쳇렌치, 스냅링플라이어, 레이저거리측정기, 기어렌치세트, 충전해머드릴",샌더,,,180mm,False,샌더,True
granite4.1:8b,LED 손전등,success,LED손전등,"LED손전등, LED작업등, LED투광기, 손타카, 안전장갑, 전정톱, 전동공구세트, 전동타카, 안전모, 전선릴, 전기인두, 안전로프, 핸드카트, 전동드릴, SDS드릴비트",LED손전등,,,,False,LED손전등,True
granite4.1:8b,경랑몽키(8인치),success,몽키렌치,"몽키렌치, 보안경, 앵글그라인더, 전기인두, 납볼망치, 망치, 돌망치, 그립망치, 고무망치, 빠루망치, 토크렌치, 핀펀치, 센터펀치, 렌치, 파이프렌치",몽키렌치,,,8인치,False,몽키렌치,True
granite4.1:8b,고압세척기,success,고압세척기,"고압세척기, 고속절단기, 전동압착기, 열풍기, 송풍기, 고지가위, 직소기, 고무망치, 기어렌치세트, 스프링배관청소기, 라돈측정기, 세트, 수평기, 전동공구세트, 석고대패",고압세척기,,,,False,고압세척기,True
granite4.1:8b,바이스플라이어,success,바이스그립플라이어,"바이스그립플라이어, 플라이어, 스냅링플라이어, 워터펌프플라이어, 다이아고날플라이어, 플라이어세트, 롱노즈플라이어, 플라이어렌치, 굽은노즈플라이어, 와이어스트리퍼, 다이스세트, 드라이버, 임팩트드라이버, 전동드라이버, 양용드라이버",바이스그립플라이어,,,,False,바이스그립플라이어,True
granite4.1:8b,보쉬 pushdrive,success,보안경,"보안경, 펜치, 볼렌치세트, 충전임팩트드라이버, 볼렌치, 충전드릴, SDS드릴비트, 바이스그립플라이어, 임팩트드라이버, 비트세트, 드라이버세트, 핀펀치, 볼트컷터, 드라이버, 다이스세트",충전임팩트드라이버,보쉬(BOSCH),충전식,,False,전동드라이버,False
granite4.1:8b,보쉬 수공구세트,success,공구세트,"공구세트, 전동공구세트, 공구함세트, 공구함, 세트, 볼렌치세트, 철공용드릴비트세트, 스패너세트, 비트세트, 소켓렌치세트, 라쳇렌치세트, T렌치세트, 탭세트, 기어렌치세트, 다이스세트",공구세트,보쉬(BOSCH),,,False,공구세트,True
granite4.1:8b,임팩트 진동드릴,success,임팩트드릴,"임팩트드릴, 전동드릴, 임팩트드라이버, 충전임팩트드라이버, 충전드릴, 해머드릴, 드릴비트, 전동드라이버, 드릴비트세트, 철공용드릴비트, 목공용드릴비트, 철공용드릴비트세트, SDS드릴비트, 로터리해머드릴, 충전해머드릴",임팩트드릴,,,,False,,
granite4.1:8b,저소음 컴프레서,success,에어컴프레서,"에어컴프레서, 레이저수평기, 직소기, 레이저거리측정기, 스프링배관청소기, 스크레퍼, 클램프미터, 왕복톱(레시프로쏘), 소켓렌치세트, 워터펌프플라이어, 에어펌프, 송풍기, 고압세척기, F클램프, 파이프렌치",에어컴프레서,,,,False,,
granite4.1:8b,"전동드릴(무선, 보쉬)",success,전동드릴,"전동드릴, 전동드라이버, 충전드릴, 전선릴, 전동압착기, 전동타카, 임팩트드릴, 충전해머드릴, 전동공구세트, 해머드릴, 드릴비트, 목공용드릴비트, SDS드릴비트, 철공용드릴비트, 로터리해머드릴",전동드릴,보쉬,충전식(무선),,False,충전드릴,False
granite4.1:8b,충전 드라이버/렌치,success,충전임팩트드라이버,"충전임팩트드라이버, 드라이버, 전동드라이버, 충전드릴, 드라이버세트, 양용드라이버, T핸드드라이버, 임팩트드라이버, 충전해머드릴, 플라이어렌치, 렌치, 정밀드라이버세트, 만능렌치, 라쳇렌치세트, 육각렌치",충전임팩트드라이버,,충전식(무선),,True,,
granite4.1:8b,충전 드라이버드릴,success,충전드릴,"충전드릴, 충전임팩트드라이버, 충전해머드릴, 드라이버, 전동드라이버, 드라이버세트, 양용드라이버, T핸드드라이버, 임팩트드라이버, 전동드릴, 정밀드라이버세트, 드릴비트, 해머드릴, 임팩트드릴, SDS드릴비트",충전드릴,,충전식(무선),,False,,
granite4.1:8b,충전 멀티커터,success,멀티테스터,"멀티테스터, 커터, 충전드릴, 충전해머드릴, 커터칼, 충전임팩트드라이버, 케이블컷터, 볼트컷터, 배터리팩, 타일컷터, PVC컷터, 전정톱, 카운터싱크, 전동압착기, 전동공구세트",멀티테스터,,,,False,,
granite4.1:8b,(1)접톱,success,접톱,"접톱, 목공용접톱, 톱, 쇠톱, 원형톱, 전정톱, 테이블톱, 목공톱, 왕복톱(레시프로쏘), 직각자, 에어펌프, 스냅링플라이어, 커터, 커터칼, 끌세트",접톱,,,,False,접톱,True
granite4.1:8b,(11)육각렌치,success,육각렌치,"육각렌치, 육각렌치세트, 렌치, 옵셋렌치, 만능렌치, 별렌치세트, 몽키렌치, 냉동라쳇렌치, 플라이어렌치, 토크렌치, 소켓렌치세트, 라쳇렌치세트, 조합렌치세트, 파이프렌치, 기어렌치세트",육각렌치,,,,False,,
granite4.1:8b,(12)검전기,success,검전기,"검전기, 전기인두, 전동압착기, 직소기, 전정톱, 열풍기, 수평기, 송풍기, LED투광기, 전지가위, 라돈측정기, 고속절단기, 레이저수평기, 전동드릴, 전동타카",검전기,,,,False,,
granite4.1:8b,(13)망치,success,망치,"망치, 돌망치, 고무망치, 그립망치, 납볼망치, 빠루망치, 렌치, 펜치, 핀펀치, 옵셋렌치, 몽키렌치, 만능렌치, 볼렌치, 별렌치세트, 육각렌치",망치,,,,False,망치,True
granite4.1:8b,(14)커터칼,success,커터칼,"커터칼, 커터, 케이블컷터, 타일컷터, 볼트컷터, PVC컷터, 카운터싱크, 절단석, 로터리해머드릴, 워터펌프플라이어, 배터리팩, 고속절단기, 앤드컷팅니퍼, 목공톱, 클램프미터",커터칼,,,,False,,
granite4.1:8b,(15)펜치,success,펜치,"펜치, 렌치, 망치, 핀펀치, 옵셋렌치, 토크렌치, 만능렌치, 몽키렌치, 별렌치세트, 볼렌치, 파이프렌치, 돌망치, 볼렌치세트, 플라이어렌치, 센터펀치",펜치,,,,False,펜치,True
