model_name,Input_Name,status,rag_top1,rag_candidates,error_message,gt_standard_name,is_correct
qwen3.5:9b,180mm 샌더,error,클램프미터,"클램프미터, 고속절단기, 전동공구세트, 별렌치세트, 스패너세트",Expecting value: line 1 column 1 (char 0),샌더,False
qwen3.5:9b,LED 손전등,error,LED손전등,"LED손전등, LED투광기, LED작업등, 레이저수평기, 라돈측정기",Expecting value: line 1 column 1 (char 0),LED손전등,False
qwen3.5:9b,경랑몽키(8인치),error,옵셋렌치,"옵셋렌치, 앵글그라인더, 다이아고날플라이어, 플라이어렌치, 굽은노즈플라이어",Expecting value: line 1 column 1 (char 0),몽키렌치,False
qwen3.5:9b,고압세척기,error,고압세척기,"고압세척기, 타일컷터, 편구스패너, 와이어스트리퍼, 전선릴",Expecting value: line 1 column 1 (char 0),고압세척기,False
qwen3.5:9b,바이스플라이어,error,스냅링플라이어,"스냅링플라이어, 앵글그라인더, 다이아고날플라이어, 플라이어렌치, 옵셋렌치",Expecting value: line 1 column 1 (char 0),바이스그립플라이어,False
qwen3.5:9b,보쉬 pushdrive,error,SDS드릴비트,"SDS드릴비트, 고속절단기, 정밀드라이버세트, 철공용드릴비트, 목공용드릴비트",Expecting value: line 1 column 1 (char 0),전동드라이버,False
qwen3.5:9b,보쉬 수공구세트,error,목공줄,"목공줄, 공구세트, 기어렌치세트, 전동공구세트, 스패너세트",Expecting value: line 1 column 1 (char 0),공구세트,False
qwen3.5:9b,임팩트 진동드릴,error,임팩트드릴,"임팩트드릴, 만능렌치, 그립망치, 빠루망치, 납볼망치",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,저소음 컴프레서,error,옵셋렌치,"옵셋렌치, 스냅링플라이어, 플라이어렌치, 굽은노즈플라이어, 충전해머드릴",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,"전동드릴(무선, 보쉬)",error,전동드릴,"전동드릴, 전선릴, 편구스패너, 쇠지렛대, 충전해머드릴",Expecting value: line 1 column 1 (char 0),충전드릴,False
qwen3.5:9b,충전 드라이버/렌치,error,충전임팩트드라이버,"충전임팩트드라이버, 충전드릴, 배터리팩, 충전해머드릴, 드라이버세트",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,충전 드라이버드릴,error,충전드릴,"충전드릴, 충전해머드릴, 충전임팩트드라이버, 드라이버세트, 전동드릴",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,충전 멀티커터,error,충전임팩트드라이버,"충전임팩트드라이버, 배터리팩, 충전드릴, 전기인두, 멀티테스터",Expecting value: line 1 column 1 (char 0),,
qwen3.5:9b,(1)접톱,error,원형톱,"원형톱, 목공줄, 스패너세트, 쇠톱, T렌치세트",Expecting value: line 1 column 1 (char 0),접톱,False
