Original_Name,SubCategories,Categories
180mm 샌더,샌더/대패,전동공구
LED 손전등,기타 일반공구,일반공구
경랑몽키(8인치),몽키/렌치/스패너,일반공구
고압세척기,기타공구,기타공구
바이스플라이어,니퍼/펜치/플라이어,일반공구
보쉬 pushdrive,전동드라이버,전동공구
보쉬 수공구세트,공구세트,일반공구
임팩트 진동드릴,전동드릴,전동공구
저소음 컴프레서,에어건/콤프레셔,전동공구
"전동드릴(무선, 보쉬)",전동공구세트,전동공구
충전 드라이버/렌치,전동드라이버,전동공구
충전 드라이버드릴,전동드릴,전동공구
충전 멀티커터,기타 전동공구,전동공구
(1)접톱,톱/낫/삽/원예공구,일반공구
(11)육각렌치,몽키/렌치/스패너,일반공구
(12)검전기,기타 전기제품,전동공구
(13)망치,망치/함마/장도리,일반공구
(14)커터칼,커터/절단공구,일반공구
(15)펜치,니퍼/펜치/플라이어,일반공구
(16)롱노우즈 플라이어(라디오펜치),니퍼/펜치/플라이어,일반공구
(17)스패너,몽키/렌치/스패너,일반공구
(18)손전등,기타 일반공구,일반공구
(19)소켓렌치 세트,몽키/렌치/스패너,일반공구
(20)유선 전동드릴,전동드릴,전동공구
"(20, 55)드릴비트세트",비트,전동공구
(22)수평계,자/측정공구,일반공구
(23)그라인더,그라인더,전동공구
"(24, 25)스패너(200mm)",몽키/렌치/스패너,일반공구
"(26, 27)스패너(300mm)",몽키/렌치/스패너,일반공구
(28)납볼망치,망치/함마/장도리,일반공구
(29)전지가위(소형),톱/낫/삽/원예공구,일반공구
(3)만능렌치,몽키/렌치/스패너,일반공구
(30)펀칭기,기타 일반공구,일반공구
(31)손타카 소형,타카/접착용품,일반공구
(32)장도리,망치/함마/장도리,일반공구
(33)실리콘건,기타 전기제품,전동공구
(34)글루건(소형),기타 전기제품,전동공구
(35)정밀드라이버세트,드라이버,일반공구
(36) 유선햄머전동드릴(콘크리트용),해머드릴,전동공구
(37)드릴날 세트(콘크리트용),비트,전동공구
(39)마그네틱 줄자,자/측정공구,일반공구
(4)락킹 플라이어(바이스그립),니퍼/펜치/플라이어,일반공구
(40)철기리 세트,비트,전동공구
(41)조합렌치 세트,몽키/렌치/스패너,일반공구
(42)양용드라이버,드라이버,일반공구
(43)검전기,기타 전기제품,전동공구
(44)육각렌치세트,몽키/렌치/스패너,일반공구
(45)에어펌프(자전거 공기주입기),에어건/콤프레셔,전동공구
(46)플라이어,니퍼/펜치/플라이어,일반공구
(47)쇠톱,톱/낫/삽/원예공구,일반공구
(48)정밀드라이버세트,드라이버,일반공구
(49)유선전동드릴(상자),전동드릴,전동공구
(5)니퍼,니퍼/펜치/플라이어,일반공구
(50)에어콤프레셔,에어건/콤프레셔,전동공구
(51)에어타카,에어건/콤프레셔,전동공구
(52)에어타카,에어건/콤프레셔,전동공구
(53)에어타카,에어건/콤프레셔,전동공구
(54)미니충전전동드릴,전동드릴,전동공구
(56)바이스플라이어(5인치),니퍼/펜치/플라이어,일반공구
(57)레이저거리측정기,기타공구,기타공구
(58)해머 드릴비트세트,비트,전동공구
(59)접톱 2,톱/낫/삽/원예공구,일반공구
(6)줄자,자/측정공구,일반공구
(7)쇠톱,톱/낫/삽/원예공구,일반공구
(8)전선릴,전선릴,전동공구
(9)핸드톱,톱/낫/삽/원예공구,일반공구
(불가),타카/접착용품,일반공구
(불가)다카핀,타카/접착용품,일반공구
(불가)소켓렌치세트,몽키/렌치/스패너,일반공구
(불가)스크류 드라이버 비트세트,못/나사/철사,일반공구
(불가)육각 기리세트,못/나사/철사,일반공구
(불가)일자드라이버,드라이버,일반공구
.몽키스패너200mm,몽키/렌치/스패너,일반공구
.몽키스패너300mm,몽키/렌치/스패너,일반공구
12P 3종 기리세트(육각씽크),기타공구,기타공구
12인치 몽키스패너,몽키/렌치/스패너,일반공구
13RE,해머드릴,전동공구
18V 밧데리(디월트),전동공구세트,전동공구
1단 사다리,사다리,일반공구
250 세신 파이프렌치,몽키/렌치/스패너,일반공구
2단 사다리,기타공구,기타공구
2단 스크래퍼,청소용품,생활용품
2단 양손가위(K-5100),커터/절단공구,일반공구
2단사다리,사다리,일반공구
3.6v 전동드라이버,전동드라이버,전동공구
300mm첼라,기타 일반공구,일반공구
30M 작업닐선,전선릴,전동공구
30m 줄자,자/측정공구,일반공구
30m작업닐선,전선릴,전동공구
3M줄자,자/측정공구,일반공구
3공펀치,기타 일반공구,일반공구
3단 사다리,기타 생활용품,생활용품
3단 사다리(접이식),사다리,일반공구
3단매트,기타 생활용품,생활용품
3단사다리,기타공구,기타공구
3단핸드카트,바퀴/핸드카,일반공구
4구 코드릴,전선릴,전동공구
4단 A형사다리,사다리,일반공구
4단 사다리,사다리,일반공구
4단 접이식 사다리,사다리,일반공구
4단사다리,기타공구,기타공구
4단접이식사다리(다목적용),사다리,일반공구
4방항 냉동라쳇,기타 일반공구,일반공구
4방향 냉동라쳇,기타공구,기타공구
4인용파라솔세트,행사용품,생활용품
