model,input_name,predicted,ground_truth,rag_top1,gt_in_candidates,gt_rank_in_candidates,fallback_used,input_dirty_types,system_failure_type,error_detail_type
deepseek-r1:1.5b,경랑몽키(8인치),고무망치,몽키렌치,몽키렌치,True,1,False,규격_속성_혼입 | 오탈자_의심,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,보쉬 pushdrive,보안경,전동드라이버,보안경,False,-1,True,브랜드명_혼입,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,"전동드릴(무선, 보쉬)",전동드릴,충전드릴,전동드릴,True,3,True,브랜드명_혼입 | 동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,(13)망치,고무망치,망치,망치,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,(36) 유선햄머전동드릴(콘크리트용),콘크리트용드릴비트,해머드릴,콘크리트용드릴비트,True,5,True,동력원_명시,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:1.5b,(37)드릴날 세트(콘크리트용),콘크리트용드릴비트,콘크리트드릴비트세트,콘크리트용드릴비트,True,2,True,세트_복합,LLM_후보내_오선택,세트_단품_혼동
deepseek-r1:1.5b,(40)철기리 세트,세트,철공용드릴비트세트,세트,True,3,False,세트_복합 | 일본어_잔재,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:1.5b,(54)미니충전전동드릴,전동드릴,충전드릴,전동드릴,True,2,True,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,.몽키스패너200mm,스패너,몽키렌치,스패너,True,3,True,규격_속성_혼입 | 모델번호_포함,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,.몽키스패너300mm,스패너,몽키렌치,스패너,True,3,True,규격_속성_혼입 | 모델번호_포함,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,12P 3종 기리세트(육각씽크),공구함세트,드릴비트세트,육각렌치세트,True,10,False,세트_복합 | 일본어_잔재 | 모델번호_포함,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:1.5b,12인치 몽키스패너,스패너,몽키렌치,스패너,True,2,True,규격_속성_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,13RE,LED투광기,해머드릴,LED투광기,False,-1,True,모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,18V 밧데리(디월트),PVC컷터,배터리팩,PVC컷터,True,5,True,브랜드명_혼입 | 규격_속성_혼입 | 모델번호_포함,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:1.5b,2단사다리,A형사다리,사다리,사다리,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,300mm첼라,플라이어,워터펌프플라이어,플라이어,False,-1,True,모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,4구 코드릴,충전드릴,전선릴,충전드릴,True,14,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,BOSCH GSB18V-21,SDS드릴비트,충전해머드릴,SDS드릴비트,False,-1,True,브랜드명_혼입 | 규격_속성_혼입 | 모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,L렌지세트,T렌치세트,육각렌치세트,T렌치세트,True,5,True,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,L렌지셋트,옵셋렌치,육각렌치세트,옵셋렌치,True,6,True,세트_복합,LLM_후보내_오선택,세트_단품_혼동
deepseek-r1:1.5b,L렌치 세트,T렌치세트,육각렌치세트,T렌치세트,True,5,True,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,L렌치세트,T렌치세트,육각렌치세트,T렌치세트,True,7,True,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,L렌치세트(9pcs),T렌치세트,육각렌치세트,T렌치세트,True,7,True,규격_속성_혼입 | 세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,L형 렌치세트,별렌치세트,육각렌치세트,별렌치세트,True,5,True,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,L형 렌치세트,별렌치세트,육각렌치세트,별렌치세트,True,5,True,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,L형 렌치센트,렌치,육각렌치세트,렌치,True,6,True,단순명사형,LLM_후보내_오선택,세트_단품_혼동
deepseek-r1:1.5b,PIPE렌치,렌치,파이프렌치,렌치,True,2,True,단순명사형,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:1.5b,bosch2(무선전동드릴),전동드릴,충전드릴,전동드릴,True,2,True,브랜드명_혼입 | 동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,bosch3(무선전동드릴),전동드릴,충전드릴,전동드릴,True,2,True,브랜드명_혼입 | 동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,pvc파이프커터,커터,PVC컷터,커터,True,4,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,usb 충전식 드라이버,충전임팩트드라이버,전동드라이버,충전임팩트드라이버,True,3,True,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,가정용 미니드릴 Set,SDS드릴비트,충전드릴,SDS드릴비트,True,6,True,세트_복합,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:1.5b,가정용공구세트(18pcs),공구함,공구세트,공구세트,True,1,False,규격_속성_혼입 | 세트_복합 | 모델번호_포함,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:1.5b,갓다,고지가위,커터,사다리,False,-1,False,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,강력절단기,고속절단기,볼트컷터,고속절단기,True,15,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,강력절단기(45cm),고속절단기,볼트컷터,고속절단기,False,-1,True,규격_속성_혼입 | 모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,검전드라이버,드라이버,검전기,드라이버,True,3,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,경량몽키,고무망치,몽키렌치,몽키렌치,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,고글,글루건,보안경,글루건,False,-1,True,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,공구함키트박스(디월트),목공톱,공구함,공구함,True,1,False,브랜드명_혼입 | 세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,글루건&글루스틱,글루스틱,글루건,글루스틱,True,2,True,세트_복합,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,기리세트,세트,드릴비트세트,세트,True,9,True,세트_복합 | 일본어_잔재,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:1.5b,기리세트(10p),공구함세트,드릴비트세트,세트,True,8,False,세트_복합 | 일본어_잔재 | 모델번호_포함,LLM_후보내_오선택,본체_부속품_혼동
deepseek-r1:1.5b,기리셋트,옵셋렌치,드릴비트세트,옵셋렌치,False,-1,True,세트_복합 | 일본어_잔재,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,나리온 무선 충전 그라인더,nan,앵글그라인더,앵글그라인더,True,1,,동력원_명시,LLM_비후보_출력,완전_다른_공구_선택
deepseek-r1:1.5b,나무톱,톱,목공톱,톱,True,3,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,노기스,롱노즈플라이어,버니어캘리퍼스,롱노즈플라이어,False,-1,True,일본어_잔재,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,드릴(무선),전동드릴,충전드릴,전동드릴,True,2,True,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,디월트 DCD709L2,LED작업등,충전드릴,LED작업등,False,-1,True,브랜드명_혼입 | 모델번호_포함,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,디월트 타카,타카,건타카,타카,True,4,True,브랜드명_혼입,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,락킹 플라이어,플라이어,바이스그립플라이어,플라이어,True,8,True,단순명사형,LLM_유사공구_오선택,동일계열_공구_혼동
deepseek-r1:1.5b,랜턴,렌치,LED손전등,렌치,False,-1,True,단순명사형,RAG_후보_누락,RAG_검색_실패
deepseek-r1:1.5b,롱노즈,장도리,롱노즈플라이어,롱노즈플라이어,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,롱로즈,장도리,롱노즈플라이어,롱노즈플라이어,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,망치,고무망치,망치,망치,True,1,False,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,망치/함마/장도리,고무망치,망치,장도리,True,2,False,세트_복합 | 일본어_잔재,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,매직렌치,렌치,만능렌치,렌치,True,2,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,몽키스패너,스패너,몽키렌치,스패너,True,3,True,단순명사형,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,몽키스패너(250mm 세신),스패너,몽키렌치,스패너,True,4,True,브랜드명_혼입 | 규격_속성_혼입 | 모델번호_포함,LLM_후보내_오선택,완전_다른_공구_선택
deepseek-r1:1.5b,무선드릴,전동드릴,충전드릴,전동드릴,True,2,True,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
deepseek-r1:1.5b,무선전동드릴,전동드릴,충전드릴,전동드릴,True,2,True,동력원_명시,LLM_유사공구_오선택,동력원_분류_오류
