GT: 457건, 표준명 종류: 160개
=== gemma4:e4b | 잔여 387건 ===
    10/387 | exact=False | '전동 드라이버' | ETA 1.4분
    20/387 | exact=False | '전동 드라이버' | ETA 1.3분
    30/387 | exact=True  | '니퍼' | ETA 1.3분
    40/387 | exact=True  | '플라이어' | ETA 1.2분
    50/387 | exact=False | '' | ETA 1.2분
    60/387 | exact=False | '' | ETA 1.2분
    70/387 | exact=False | '몽키 스패너 10' | ETA 1.2분
    80/387 | exact=False | '파이프 렌치' | ETA 1.1분
    90/387 | exact=False | '렌치세트' | ETA 1.1분
   100/387 | exact=True  | '소켓렌치세트' | ETA 1.1분
   110/387 | exact=False | 'T렌치 세트' | ETA 1.0분
   120/387 | exact=True  | '줄자' | ETA 1.0분
   130/387 | exact=False | '수평자' | ETA 0.9분
   140/387 | exact=False | '' | ETA 0.9분
   150/387 | exact=False | '무선 그라인더' | ETA 0.9분
   160/387 | exact=False | '접이식 톱' | ETA 0.8분
   170/387 | exact=False | '원형톱날' | ETA 0.8분
   180/387 | exact=True  | '망치' | ETA 0.8분
   190/387 | exact=False | '' | ETA 0.7분
   200/387 | exact=True  | '글루건' | ETA 0.7분
   210/387 | exact=False | '실리콘 건' | ETA 0.7분
   220/387 | exact=False | '드릴비트 세트' | ETA 0.6분
   230/387 | exact=False | '' | ETA 0.6분
   240/387 | exact=True  | '사다리' | ETA 0.5분
   250/387 | exact=True  | '사다리' | ETA 0.5분
   260/387 | exact=False | '공구 세트' | ETA 0.5분
   270/387 | exact=True  | '전동공구세트' | ETA 0.4분
   280/387 | exact=False | 'LED 손전지' | ETA 0.4분
   290/387 | exact=False | '공기 펌프' | ETA 0.4분
   300/387 | exact=False | '점프선' | ETA 0.3분
   310/387 | exact=False | '납땜 인두' | ETA 0.3분
   320/387 | exact=False | '헤라' | ETA 0.2분
   330/387 | exact=False | 'F 클램프' | ETA 0.2분
   340/387 | exact=False | '센터 펀치' | ETA 0.2분
   350/387 | exact=False | '적외선 온도계' | ETA 0.1분
   360/387 | exact=False | '와이어 스트리퍼' | ETA 0.1분
   370/387 | exact=True  | '석고대패' | ETA 0.1분
   380/387 | exact=False | '' | ETA 0.0분
