input_name,standard_name_gt,dirty_type,llm_output,llm_raw,exact_match,nearest_name,nearest_sim,nearest_correct
전동드릴,전동드릴,동력원 명시,전동드릴 → 전동 드릴,전동드릴 → 전동 드릴,False,전동드릴,0.5,True
전기드릴,전동드릴,오탈자,전기드릴 → 전동드릴,전기드릴 → 전동드릴,False,전동드릴,0.533,True
유선전동드릴,전동드릴,동력원 명시,전동드릴,전동드릴,True,전동드릴,1.0,True
유선 전동드릴,전동드릴,동력원 명시,전동드릴,전동드릴,True,전동드릴,1.0,True
전동드릴(유선),전동드릴,동력원 명시,전동 유선 드릴,전동 유선 드릴,False,전동드릴,0.667,True
전기드릴(유선),전동드릴,동력원 명시,전기 유선 드릴,전기 유선 드릴,False,전선릴,0.545,False
(20)유선 전동드릴,전동드릴,메타데이터,전동드릴 (유선),전동드릴 (유선),False,전동드릴,0.615,True
드릴(유선),전동드릴,동력원 명시,전기 드릴,전기 드릴,False,충전드릴,0.667,False
전동 드릴,전동드릴,동력원 명시,전동 드릴 → 전동드릴,전동 드릴 → 전동드릴,False,전동드릴,0.5,True
드릴,전동드릴,기타,드릴,드릴,False,해머드릴,0.667,False
충전드릴,충전드릴,동력원 명시,충전드릴 → **충전식 드릴**,충전드릴 → **충전식 드릴**,False,충전드릴,0.381,True
무선드릴,충전드릴,동력원 명시,무선드릴 → 무선 드릴 드라이버,무선드릴 → 무선 드릴 드라이버,False,T핸드드라이버,0.417,False
무선전동드릴,충전드릴,동력원 명시,무선 전동 드릴,무선 전동 드릴,False,전동드릴,0.667,False
전동드릴(무선),충전드릴,동력원 명시,무선 전동드릴,무선 전동드릴,False,전동드릴,0.727,False
전동 무선드릴,충전드릴,동력원 명시,무선 전동드릴,무선 전동드릴,False,전동드릴,0.727,False
드릴(무선),충전드릴,동력원 명시,무선 드릴,무선 드릴,False,전선릴,0.5,False
충전 전동드릴,충전드릴,동력원 명시,충전식 전동드릴,충전식 전동드릴,False,충전드릴,0.667,True
충전전동드릴,충전드릴,동력원 명시,충전식 전동드릴,충전식 전동드릴,False,충전드릴,0.667,True
전동충전드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
전동드릴(충전식),충전드릴,동력원 명시,충전식 전동드릴,충전식 전동드릴,False,충전드릴,0.667,True
(54)미니충전전동드릴,충전드릴,메타데이터,미니 충전 전동 드릴,미니 충전 전동 드릴,False,충전드릴,0.533,True
일자경용 충전드릴,충전드릴,동력원 명시,일자형 충전드릴,일자형 충전드릴,False,충전드릴,0.667,True
일자겸용 충전드릴,충전드릴,동력원 명시,일자형 충전드릴,일자형 충전드릴,False,충전드릴,0.667,True
가정용 미니드릴 Set,충전드릴,영문/약어,미니 드릴 세트,미니 드릴 세트,False,드릴비트세트,0.571,False
가정용 소형 드릴,전동드릴,오탈자,소형 드릴,소형 드릴,False,해머드릴,0.444,False
보쉬전동드릴,전동드릴,브랜드 혼입,보쉬 전동 드릴,보쉬 전동 드릴,False,전동드릴,0.667,True
