input_name,standard_name_gt,dirty_type,llm_output,llm_raw,exact_match,nearest_name,nearest_sim,nearest_correct
전동드릴,전동드릴,동력원 명시,전동드릴기,전동드릴기,False,전동드릴,0.889,True
전기드릴,전동드릴,오탈자,전동드릴,전동드릴,True,전동드릴,1.0,True
유선전동드릴,전동드릴,동력원 명시,유선전동드릴,유선전동드릴,False,전동드릴,0.8,True
유선 전동드릴,전동드릴,동력원 명시,유선 전동드릴,유선 전동드릴,False,전동드릴,0.727,True
전동드릴(유선),전동드릴,동력원 명시,유선 전동드릴,유선 전동드릴,False,전동드릴,0.727,True
전기드릴(유선),전동드릴,동력원 명시,유선 전기드릴,유선 전기드릴,False,충전드릴,0.545,False
(20)유선 전동드릴,전동드릴,메타데이터,유선 전동드릴,유선 전동드릴,False,전동드릴,0.727,True
드릴(유선),전동드릴,동력원 명시,유선 드릴,유선 드릴,False,전선릴,0.5,False
전동 드릴,전동드릴,동력원 명시,전동드릴,전동드릴,True,전동드릴,1.0,True
드릴,전동드릴,기타,드릴,드릴,False,해머드릴,0.667,False
충전드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
무선드릴,충전드릴,동력원 명시,무선 톱,무선 톱,False,톱,0.4,False
무선전동드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
전동드릴(무선),충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
전동 무선드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
드릴(무선),충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
충전 전동드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
충전전동드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
전동충전드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
전동드릴(충전식),충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
(54)미니충전전동드릴,충전드릴,메타데이터,미니충전전동드릴,미니충전전동드릴,False,충전드릴,0.667,True
일자경용 충전드릴,충전드릴,동력원 명시,일자경용 드릴,일자경용 드릴,False,철공용드릴비트,0.429,False
일자겸용 충전드릴,충전드릴,동력원 명시,일자드릴,일자드릴,False,해머드릴,0.5,False
가정용 미니드릴 Set,충전드릴,영문/약어,전동 드릴 세트,전동 드릴 세트,False,전동드릴,0.667,False
가정용 소형 드릴,전동드릴,오탈자,전동 드릴,전동 드릴,False,전동드릴,0.889,True
보쉬전동드릴,전동드릴,브랜드 혼입,보쉬 전동 드릴,보쉬 전동 드릴,False,전동드릴,0.667,True
보쉬 전동드릴,전동드릴,브랜드 혼입,보쉬 전동드릴,보쉬 전동드릴,False,전동드릴,0.727,True
BOSCH 전동드릴,전동드릴,브랜드 혼입,전동드릴,전동드릴,True,전동드릴,1.0,True
보쉬 일반 드릴,전동드릴,브랜드 혼입,보쉬 드릴,보쉬 드릴,False,해머드릴,0.444,False
전동드릴(보쉬 GSR14.4-2),충전드릴,브랜드 혼입,전동드릴,전동드릴,False,전동드릴,1.0,False
"전동드릴(무선, 보쉬)",충전드릴,브랜드 혼입,전동드릴,전동드릴,False,전동드릴,1.0,False
보쉬 충전드릴,충전드릴,브랜드 혼입,보쉬 충전 드릴,보쉬 충전 드릴,False,충전드릴,0.667,True
보쉬충전드릴,충전드릴,브랜드 혼입,보쉬 충전 드릴,보쉬 충전 드릴,False,충전드릴,0.667,True
보쉬 충전 전동드릴,충전드릴,브랜드 혼입,보쉬 전동드릴,보쉬 전동드릴,False,전동드릴,0.727,False
충전 전동드릴(보쉬),충전드릴,브랜드 혼입,전동드릴,전동드릴,False,전동드릴,1.0,False
BOSCH GSB18V-21,충전해머드릴,브랜드 혼입,GSB18V-21,GSB18V-21,False,PVC컷터,0.143,False
