input_name,standard_name_gt,dirty_type,llm_output,llm_raw,exact_match,nearest_name,nearest_sim,nearest_correct
전동드릴,전동드릴,동력원 명시,전동 드릴,전동 드릴,False,전동드릴,0.889,True
전기드릴,전동드릴,오탈자,전동 드릴,전동 드릴,False,전동드릴,0.889,True
유선전동드릴,전동드릴,동력원 명시,전동드릴,전동드릴,True,전동드릴,1.0,True
유선 전동드릴,전동드릴,동력원 명시,전동드릴,전동드릴,True,전동드릴,1.0,True
전동드릴(유선),전동드릴,동력원 명시,유선 전동 드릴,유선 전동 드릴,False,전동드릴,0.667,True
전기드릴(유선),전동드릴,동력원 명시,전동 드릴,전동 드릴,False,전동드릴,0.889,True
(20)유선 전동드릴,전동드릴,메타데이터,전동드릴,전동드릴,True,전동드릴,1.0,True
드릴(유선),전동드릴,동력원 명시,유선 드릴,유선 드릴,False,전선릴,0.5,False
전동 드릴,전동드릴,동력원 명시,전동 드릴,전동 드릴,False,전동드릴,0.889,True
드릴,전동드릴,기타,드릴,드릴,False,해머드릴,0.667,False
충전드릴,충전드릴,동력원 명시,드릴,드릴,False,해머드릴,0.667,False
무선드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
무선전동드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
전동드릴(무선),충전드릴,동력원 명시,무선 드릴,무선 드릴,False,전선릴,0.5,False
전동 무선드릴,충전드릴,동력원 명시,전동 드릴,전동 드릴,False,전동드릴,0.889,False
드릴(무선),충전드릴,동력원 명시,무선 드릴,무선 드릴,False,전선릴,0.5,False
충전 전동드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
충전전동드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
전동충전드릴,충전드릴,동력원 명시,전동드릴,전동드릴,False,전동드릴,1.0,False
전동드릴(충전식),충전드릴,동력원 명시,충전 전동 드릴,충전 전동 드릴,False,충전드릴,0.667,True
(54)미니충전전동드릴,충전드릴,메타데이터,미니 충전 전동 드릴,미니 충전 전동 드릴,False,충전드릴,0.533,True
일자경용 충전드릴,충전드릴,동력원 명시,일자형 충전드릴,일자형 충전드릴,False,충전드릴,0.667,True
일자겸용 충전드릴,충전드릴,동력원 명시,일자드릴 겸용 충전드릴,일자드릴 겸용 충전드릴,False,충전드릴,0.5,True
가정용 미니드릴 Set,충전드릴,영문/약어,미니 드릴 세트,미니 드릴 세트,False,드릴비트세트,0.571,False
가정용 소형 드릴,전동드릴,오탈자,소형 전동 드릴,소형 전동 드릴,False,전동드릴,0.667,True
보쉬전동드릴,전동드릴,브랜드 혼입,전동드릴,전동드릴,True,전동드릴,1.0,True
보쉬 전동드릴,전동드릴,브랜드 혼입,전동드릴,전동드릴,True,전동드릴,1.0,True
BOSCH 전동드릴,전동드릴,브랜드 혼입,전동드릴,전동드릴,True,전동드릴,1.0,True
보쉬 일반 드릴,전동드릴,브랜드 혼입,드릴,드릴,False,해머드릴,0.667,False
전동드릴(보쉬 GSR14.4-2),충전드릴,브랜드 혼입,전동 드릴,전동 드릴,False,전동드릴,0.889,False
"전동드릴(무선, 보쉬)",충전드릴,브랜드 혼입,무선 전동 드릴,무선 전동 드릴,False,전동드릴,0.667,False
보쉬 충전드릴,충전드릴,브랜드 혼입,충전드릴,충전드릴,True,충전드릴,1.0,True
보쉬충전드릴,충전드릴,브랜드 혼입,충전드릴,충전드릴,True,충전드릴,1.0,True
보쉬 충전 전동드릴,충전드릴,브랜드 혼입,충전 전동 드릴,충전 전동 드릴,False,충전드릴,0.667,True
충전 전동드릴(보쉬),충전드릴,브랜드 혼입,전동드릴,전동드릴,False,전동드릴,1.0,False
BOSCH GSB18V-21,충전해머드릴,브랜드 혼입,콘크리트함마드릴,콘크리트함마드릴,False,콘크리트용드릴비트,0.706,False
bosch2(무선전동드릴),충전드릴,브랜드 혼입,무선전동드릴,무선전동드릴,False,전동드릴,0.8,False
bosch3(무선전동드릴),충전드릴,브랜드 혼입,무선전동드릴,무선전동드릴,False,전동드릴,0.8,False
BOMANN 전동드릴,전동드릴,동력원 명시,전동드릴,전동드릴,True,전동드릴,1.0,True
계양전동드릴,전동드릴,브랜드 혼입,전동드릴,전동드릴,True,전동드릴,1.0,True
전동드릴(계양 DMV-13K),전동드릴,브랜드 혼입,전동 드릴,전동 드릴,False,전동드릴,0.889,True
충전 전동드릴(계양),충전드릴,브랜드 혼입,전동드릴,전동드릴,False,전동드릴,1.0,False
아임삭 충전드릴,충전드릴,브랜드 혼입,충전드릴,충전드릴,True,충전드릴,1.0,True
아임삭충전드릴,충전드릴,브랜드 혼입,충전드릴,충전드릴,True,충전드릴,1.0,True
아임삭 충전 드릴(무선),충전드릴,브랜드 혼입,충전 드릴,충전 드릴,False,충전드릴,0.889,True
아임삭 콤보드릴,충전드릴,브랜드 혼입,콤보드릴,콤보드릴,False,해머드릴,0.5,False
충전 전동드릴(아임삭),충전드릴,브랜드 혼입,전동드릴,전동드릴,False,전동드릴,1.0,False
디월트 전동드릴(전화 문의),전동드릴,운영용 텍스트,전동드릴,전동드릴,True,전동드릴,1.0,True
디월트 DCD709L2,충전드릴,브랜드 혼입,,,False,A형사다리,0.0,False
해머드릴,해머드릴,오탈자,해머드릴,해머드릴,True,해머드릴,1.0,True
함마드릴,해머드릴,일본어 잔재,함마드릴,함마드릴,False,해머드릴,0.5,True
전동 해머드릴,해머드릴,동력원 명시,함마드릴,함마드릴,False,해머드릴,0.5,True
전동해머드릴,해머드릴,동력원 명시,함마드릴,함마드릴,False,해머드릴,0.5,True
전기헤머드릴,해머드릴,오탈자,함마드릴,함마드릴,False,해머드릴,0.5,True
해머드릴(유선),해머드릴,동력원 명시,유선 해머드릴,유선 해머드릴,False,해머드릴,0.727,True
전기해머드릴,해머드릴,오탈자,함마드릴,함마드릴,False,해머드릴,0.5,True
스킬 함마드릴,해머드릴,일본어 잔재,함마드릴,함마드릴,False,해머드릴,0.5,True
충전해머드릴,충전해머드릴,동력원 명시,충전함마드릴,충전함마드릴,False,충전드릴,0.8,False
충전 해머드릴,충전해머드릴,동력원 명시,충전 드릴,충전 드릴,False,충전드릴,0.889,False
충전 헤머드릴,충전해머드릴,동력원 명시,함마드릴,함마드릴,False,해머드릴,0.5,False
충전햄머드릴,충전해머드릴,동력원 명시,함마드릴,함마드릴,False,해머드릴,0.5,False
보쉬 해머드릴,해머드릴,브랜드 혼입,해머드릴,해머드릴,True,해머드릴,1.0,True
