standard_name,category,subcategory,aliases,power_source,common_specifications
니퍼,수작업공구,니퍼/펜치/플라이어,"니빠,닛파,니퍼",,"6인치,7인치,8인치,150mm,180mm,200mm"
강력 니퍼,수작업공구,니퍼/펜치/플라이어,"강력니퍼,강력닛파",,
앤드컷팅 니퍼,수작업공구,니퍼/펜치/플라이어,,,
콘크리트 니퍼,수작업공구,니퍼/펜치/플라이어,,,
펜치,수작업공구,니퍼/펜치/플라이어,"뺀치,빤치,펜찌,플라이어펜치",,"6인치,8인치"
롱노즈 플라이어,수작업공구,니퍼/펜치/플라이어,"롱노우즈,롱로우즈,라디오펜치,롱노즈,굽은노즈,굽은노즈플라이어,롱노우즈플라이어",,
플라이어,수작업공구,니퍼/펜치/플라이어,"프라이어,쁘라이어",,
워터펌프 플라이어,수작업공구,니퍼/펜치/플라이어,"워터펌프플라이어,멀티그립",,
바이스그립 플라이어,수작업공구,니퍼/펜치/플라이어,"바이스그립,바이스플라이어,그립플라이어,락킹플라이어",,"5인치,7인치,10인치"
스냅링 플라이어,수작업공구,니퍼/펜치/플라이어,"스냅링,스넵링플라이어",,
몽키 렌치,수작업공구,스패너/렌치,"몽키,몽키스패너,경량몽키,경랑몽키,광폭몽키,몽키렌치",,"8인치,10인치,12인치,200mm,250mm,300mm"
파이프 렌치,수작업공구,스패너/렌치,"파이프렌치,파이프랜치,암파이프렌치",,"14인치,18인치,24인치"
양구 스패너,수작업공구,스패너/렌치,"스패너,양구스패너,스페너",,"200mm,300mm"
조합 렌치,수작업공구,스패너/렌치,"조합렌치,콤비네이션렌치,콤비렌치",,세트
만능 렌치,수작업공구,스패너/렌치,"만능렌치,유니버셜렌치,멀티렌치",,
기어 렌치,수작업공구,스패너/렌치,"기어렌치,기어라쳇렌치,기아렌치",,세트
라쳇 렌치,수작업공구,스패너/렌치,"라쳇렌치,라쳇,래칫렌치,냉동라쳇",,4방향
육각 렌치,수작업공구,스패너/렌치,"육각렌치,6각렌치,L렌치,L렌치세트,L렌지세트,L렌지셋트,L형렌치세트,접이식육각렌치",,"세트,9PCS,9pcs"
소켓 렌치,수작업공구,스패너/렌치,"소켓렌치,소켓렌치세트,복스세트,소켓세트,복스",,세트
토크 렌치,수작업공구,스패너/렌치,"토크렌치,토오크렌치",,
T렌치,수작업공구,스패너/렌치,"T렌치,T형렌치,T핸드",,세트
첼라,수작업공구,스패너/렌치,"첼라,워터펌프플라이어,쩰라",,"10인치,12인치,250mm,300mm"
스크류 드라이버,수작업공구,드라이버,"드라이버,양용드라이버,겸용드라이버,십자드라이버,일자드라이버,정공드라이버",,"4*150,6*200"
정밀 드라이버 세트,수작업공구,드라이버,"정밀드라이버세트,정밀드라이버,미니드라이버세트",,세트
T핸드 드라이버,수작업공구,드라이버,"T핸드드라이버,T형드라이버핸들",,
드라이버 세트,수작업공구,드라이버,"드라이버세트,드라이버셋트,드라이버7종세트",,세트
해머,수작업공구,망치/해머,"해머,함마,함마드릴,햄머,망치",,
고무 망치,수작업공구,망치/해머,"고무망치,고무해머,고무함마",,
볼핀 해머,수작업공구,망치/해머,"볼핀해머,볼핀함마,볼핀망치",,
납볼 망치,수작업공구,망치/해머,"납볼망치,납볼해머",,
장도리,수작업공구,망치/해머,"장도리,네일해머",,
빠루 망치,수작업공구,망치/해머,"빠루망치,빠루,바루망치,쇠지렛대,나무빠루망치",,
돌망치,수작업공구,망치/해머,"돌망치,석두해머",,
그립 망치,수작업공구,망치/해머,"그립망치,그립해머",,
쇠톱,수작업공구,톱,"쇠톱,쇠톱대,철공톱,쇠톱날,HSS쇠톱날",,
접톱,수작업공구,톱,"접톱,접이식톱,집톱",,
핸드톱,수작업공구,톱,"핸드톱,손톱,나무톱,목공톱",,
목공용 접톱,수작업공구,톱,"목공용접톱,목공접톱",,
곡선톱,수작업공구,톱,"곡선톱,곡선전정톱",,
다목적 가위,수작업공구,가위/절단,"다목적가위,만능가위,공구가위",,
전지 가위,수작업공구,가위/절단,"전지가위,전정가위,조경가위,정원가위,고지가위",,"소형,대형"
양손 가위,수작업공구,가위/절단,"양손가위,양손전지가위,2단양손가위",,
볼트 컷터,수작업공구,가위/절단,"볼트컷터,볼트커터,강력절단기",,45cm
커터칼,수작업공구,가위/절단,"커터칼,칼,캇타칼,컷터칼,커터",,"대형,소형"
PVC 컷터,수작업공구,가위/절단,"PVC컷터,PVC카터,PVC카타,PVC커타,pvc파이프커터",,
줄자,측정공구,줄자/측정,"줄자,고무피복줄자,자동줄자,수동줄자,코메론줄자,타지마줄자,3M줄자",,"3m,5m,5.5m,7.5m,30m,50m"
수평기,측정공구,줄자/측정,"수평기,수평계,수평자,레벨,레벨기,SB수평",,
레이저 레벨,측정공구,줄자/측정,"레이저레벨,레이저수평기",,
거리 측정기,측정공구,줄자/측정,"거리측정기,레이저거리측정기",,
검전기,측정공구,줄자/측정,"검전기,검전드라이버,테스터",,
직각자,측정공구,줄자/측정,"직각자,사시가네,T자,각자",,
노기스,측정공구,줄자/측정,"노기스,버니어캘리퍼스,캘리퍼스",,
전동 드릴,전동공구,드릴,"전동드릴,전기드릴,유선전동드릴,유선드릴",유선,
충전 드릴,전동공구,드릴,"충전드릴,무선드릴,충전식드릴,미니충전전동드릴,무선전동드릴",충전식(무선),
