original_name,standard_name,brand,power_source,specification,usage_note
전동드릴,전동드릴,,유선,,
전기드릴,전동드릴,,유선,,
유선전동드릴,전동드릴,,유선,,
유선 전동드릴,전동드릴,,유선,,
전동드릴(유선),전동드릴,,유선,,
전기드릴(유선),전동드릴,,유선,,
(20)유선 전동드릴,전동드릴,,유선,,
드릴(유선),전동드릴,,유선,,
전동 드릴,전동드릴,,유선,,
드릴,전동드릴,,,,
충전드릴,충전드릴,,충전식(무선),,
무선드릴,충전드릴,,충전식(무선),,
무선전동드릴,충전드릴,,충전식(무선),,
전동드릴(무선),충전드릴,,충전식(무선),,
전동 무선드릴,충전드릴,,충전식(무선),,
드릴(무선),충전드릴,,충전식(무선),,
충전 전동드릴,충전드릴,,충전식(무선),,
충전전동드릴,충전드릴,,충전식(무선),,
전동충전드릴,충전드릴,,충전식(무선),,
전동드릴(충전식),충전드릴,,충전식(무선),,
(54)미니충전전동드릴,충전드릴,,충전식(무선),,미니
일자경용 충전드릴,충전드릴,,충전식(무선),,일자겸용
일자겸용 충전드릴,충전드릴,,충전식(무선),,일자겸용
가정용 미니드릴 Set,충전드릴,,충전식(무선),,"가정용,미니,세트"
가정용 소형 드릴,전동드릴,,,,"가정용,소형"
보쉬전동드릴,전동드릴,보쉬(BOSCH),유선,,
보쉬 전동드릴,전동드릴,보쉬(BOSCH),유선,,
BOSCH 전동드릴,전동드릴,보쉬(BOSCH),유선,,
보쉬 일반 드릴,전동드릴,보쉬(BOSCH),유선,,
전동드릴(보쉬 GSR14.4-2),충전드릴,보쉬(BOSCH),충전식(무선),GSR14.4-2,
"전동드릴(무선, 보쉬)",충전드릴,보쉬(BOSCH),충전식(무선),,
보쉬 충전드릴,충전드릴,보쉬(BOSCH),충전식(무선),,
보쉬충전드릴,충전드릴,보쉬(BOSCH),충전식(무선),,
보쉬 충전 전동드릴,충전드릴,보쉬(BOSCH),충전식(무선),,
충전 전동드릴(보쉬),충전드릴,보쉬(BOSCH),충전식(무선),,
BOSCH GSB18V-21,충전해머드릴,보쉬(BOSCH),충전식(무선),GSB18V-21/18V,
bosch2(무선전동드릴),충전드릴,보쉬(BOSCH),충전식(무선),,
bosch3(무선전동드릴),충전드릴,보쉬(BOSCH),충전식(무선),,
BOMANN 전동드릴,전동드릴,보만(BOMANN),유선,,
계양전동드릴,전동드릴,계양,유선,,
전동드릴(계양 DMV-13K),전동드릴,계양,유선,DMV-13K,
충전 전동드릴(계양),충전드릴,계양,충전식(무선),,
아임삭 충전드릴,충전드릴,아임삭,충전식(무선),,
아임삭충전드릴,충전드릴,아임삭,충전식(무선),,
아임삭 충전 드릴(무선),충전드릴,아임삭,충전식(무선),,
아임삭 콤보드릴,충전드릴,아임삭,충전식(무선),,콤보
충전 전동드릴(아임삭),충전드릴,아임삭,충전식(무선),,
디월트 전동드릴(전화 문의),전동드릴,디월트(DeWalt),,,
디월트 DCD709L2,충전드릴,디월트(DeWalt),충전식(무선),DCD709L2,
해머드릴,해머드릴,,유선,,
함마드릴,해머드릴,,유선,,
전동 해머드릴,해머드릴,,유선,,
전동해머드릴,해머드릴,,유선,,
전기헤머드릴,해머드릴,,유선,,
해머드릴(유선),해머드릴,,유선,,
전기해머드릴,해머드릴,,유선,,
스킬 함마드릴,해머드릴,스킬(SKIL),유선,,
충전해머드릴,충전해머드릴,,충전식(무선),,
충전 해머드릴,충전해머드릴,,충전식(무선),,
충전 헤머드릴,충전해머드릴,,충전식(무선),,
충전햄머드릴,충전해머드릴,,충전식(무선),,
보쉬 해머드릴,해머드릴,보쉬(BOSCH),유선,,
보쉬해머드릴,해머드릴,보쉬(BOSCH),유선,,
보쉬 해머드릴(유선),해머드릴,보쉬(BOSCH),유선,,
해머드릴(보쉬),해머드릴,보쉬(BOSCH),유선,,
보쉬 충전해머드릴,충전해머드릴,보쉬(BOSCH),충전식(무선),,
보쉬 충전해머드릴(무선),충전해머드릴,보쉬(BOSCH),충전식(무선),,
충전해머드릴(보쉬),충전해머드릴,보쉬(BOSCH),충전식(무선),,
보쉬 13RE,해머드릴,보쉬(BOSCH),유선,13RE,
13RE,해머드릴,,유선,13RE,
겸용해머드릴(GBH5-38X),해머드릴,,유선,GBH5-38X,겸용
(36) 유선햄머전동드릴(콘크리트용),해머드릴,,유선,,콘크리트용
충전해머드릴(계양),충전해머드릴,계양,충전식(무선),,
마끼다 충전해머드릴(무선),충전해머드릴,마끼다(Makita),충전식(무선),,
마끼다 해머드릴(유선),해머드릴,마끼다(Makita),유선,,
충전함마드릴(디월트),충전해머드릴,디월트(DeWalt),충전식(무선),,
밀워키 충전해머드릴 M12V CPD,충전해머드릴,밀워키(Milwaukee),충전식(무선),M12V CPD,
계양임팩드릴,임팩트드릴,계양,유선,,
전동드라이버,전동드라이버,,충전식(무선),,
전동 드라이버,전동드라이버,,충전식(무선),,
충전드라이버,전동드라이버,,충전식(무선),,
충전 임팩드라이버,충전임팩트드라이버,,충전식(무선),,
충전임팩드라이버,충전임팩트드라이버,,충전식(무선),,
스크류 전동 드라이버,전동드라이버,,충전식(무선),,
미니전동드라이버드릴,전동드라이버,,충전식(무선),,미니
3.6v 전동드라이버,전동드라이버,,충전식(무선),3.6V,
usb 충전식 드라이버,전동드라이버,,충전식(무선),,USB충전
보쉬 전동 드라이버,전동드라이버,보쉬(BOSCH),충전식(무선),,
전동드라이버(보쉬),전동드라이버,보쉬(BOSCH),충전식(무선),,
BOSCH Professional 전동드라이브,전동드라이버,보쉬(BOSCH),충전식(무선),,
보쉬 pushdrive,전동드라이버,보쉬(BOSCH),충전식(무선),PushDrive,
아임삭 충전 임팩 드라이버,충전임팩트드라이버,아임삭,충전식(무선),,
밀워키 M12 BID,충전임팩트드라이버,밀워키(Milwaukee),충전식(무선),M12 BID,
보쉬 충전 임팩트 드릴/드라이버,충전임팩트드라이버,보쉬(BOSCH),충전식(무선),,
니퍼,니퍼,,수동,,
니퍼 6인치,니퍼,,수동,6인치,
니퍼(6인치),니퍼,,수동,6인치,
니퍼(7인치),니퍼,,수동,7인치,
니퍼(8인치),니퍼,,수동,8인치,
니퍼 (150mm),니퍼,,수동,150mm,
강력니퍼,강력니퍼,,수동,,
(5)니퍼,니퍼,,수동,,
펜치,펜치,,수동,,
8인치 펜치,펜치,,수동,8인치,
펜치(8인치),펜치,,수동,8인치,
(15)펜치,펜치,,수동,,
뺀찌,펜치,,수동,,
ttc 펜치(6인치),펜치,TTC,수동,6인치,
플라이어,플라이어,,수동,,
(46)플라이어,플라이어,,수동,,
8피스 플라이어세트,플라이어세트,,수동,8PCS,세트
바이스그립,바이스그립플라이어,,수동,,
바이스플라이어,바이스그립플라이어,,수동,,
바이스 플라이어,바이스그립플라이어,,수동,,
바이스플라이어(10인치),바이스그립플라이어,,수동,10인치,
(56)바이스플라이어(5인치),바이스그립플라이어,,수동,5인치,
(4)락킹 플라이어(바이스그립),바이스그립플라이어,,수동,,
락킹 플라이어,바이스그립플라이어,,수동,,
롱노즈,롱노즈플라이어,,수동,,
롱로우즈,롱노즈플라이어,,수동,,
롱로즈,롱노즈플라이어,,수동,,
(16)롱노우즈 플라이어(라디오펜치),롱노즈플라이어,,수동,,
굽은 노즈 플라이어,굽은노즈플라이어,,수동,,
다이아타입 플라이어,다이아고날플라이어,,수동,,
몽키스패너,몽키렌치,,수동,,
몽키,몽키렌치,,수동,,
몽키렌치,몽키렌치,,수동,,
경량 몽키렌치,몽키렌치,,수동,,경량
경량몽키,몽키렌치,,수동,,경량
경랑몽키(8인치),몽키렌치,,수동,8인치,경량
몽키 8인치,몽키렌치,,수동,8인치,
몽키 10인치,몽키렌치,,수동,10인치,
몽키 12인치,몽키렌치,,수동,12인치,
12인치 몽키스패너,몽키렌치,,수동,12인치,
.몽키스패너200mm,몽키렌치,,수동,200mm,
.몽키스패너300mm,몽키렌치,,수동,300mm,
몽키스패너(250mm 세신),몽키렌치,세신버팔로,수동,250mm,
세신몽키,몽키렌치,세신버팔로,수동,,
세신 몽키 스패너 8,몽키렌치,세신버팔로,수동,8인치,
세신 몽키 스패너 10,몽키렌치,세신버팔로,수동,10인치,
세신 몽키 스패너 12,몽키렌치,세신버팔로,수동,12인치,
파이프렌치,파이프렌치,,수동,,
파이프렌치(14인치),파이프렌치,,수동,14인치,
암파이프렌치 18인치,파이프렌치,,수동,18인치,암형
세신파이프렌치,파이프렌치,세신버팔로,수동,,
250 세신 파이프렌치,파이프렌치,세신버팔로,수동,250mm,
PIPE렌치,파이프렌치,,수동,,
스패너,스패너,,수동,,
스패너세트,스패너세트,,수동,,세트
스패너(200mm),스패너,,수동,200mm,
스패너(300mm),스패너,,수동,300mm,
보쉬 스패너 세트,스패너세트,보쉬(BOSCH),수동,,세트
만능렌치,만능렌치,,수동,,
매직렌치,만능렌치,,수동,,
육각렌치,육각렌치,,수동,,
육각렌치세트,육각렌치세트,,수동,,세트
6각 렌치,육각렌치,,수동,,
6각렌치세트 9개,육각렌치세트,,수동,9PCS,세트
L렌치 세트,육각렌치세트,,수동,,세트
L렌치세트,육각렌치세트,,수동,,세트
L렌치세트(9pcs),육각렌치세트,,수동,9PCS,세트
L형 렌치세트,육각렌치세트,,수동,,세트
L렌지세트,육각렌치세트,,수동,,세트
L렌지셋트,육각렌치세트,,수동,,세트
L형 렌치센트,육각렌치세트,,수동,,세트
접이식 육각렌치세트,육각렌치세트,,수동,,"접이식,세트"
볼렌치세트,볼렌치세트,,수동,,세트
볼렌치,볼렌치,,수동,,
별렌치세트,별렌치세트,,수동,,세트
소켓렌치세트,소켓렌치세트,,수동,,세트
복스세트,소켓렌치세트,,수동,,세트
소켓렌치세트(SMATO),소켓렌치세트,스마토(SMATO),수동,,세트
밀워키 래치 렌치세트,라쳇렌치세트,밀워키(Milwaukee),수동,,세트
기어렌치세트,기어렌치세트,,수동,,세트
4방향 냉동라쳇,냉동라쳇렌치,,수동,,4방향
4방항 냉동라쳇,냉동라쳇렌치,,수동,,4방향
첼라,워터펌프플라이어,,수동,,
첼라 300,워터펌프플라이어,,수동,300mm,
300mm첼라,워터펌프플라이어,,수동,300mm,
T렌치 세트,T렌치세트,,수동,,세트
조합렌치 세트,조합렌치세트,,수동,,세트
줄자,줄자,,수동,,
30m 줄자,줄자,,수동,30m,
50m 줄자,줄자,,수동,50m,
줄자(7.5m),줄자,,수동,7.5m,
줄자(5m),줄자,,수동,5m,
3M줄자,줄자,,수동,3m,
코메론 줄자,줄자,코메론,수동,,
타지마줄자,줄자,타지마(TAJIMA),수동,,
타지마 줄자 7.5m,줄자,타지마(TAJIMA),수동,7.5m,
타지마줄자(3m),줄자,타지마(TAJIMA),수동,3m,
고무피복줄자,줄자,,수동,,고무피복
고무피복줄자(5.5M),줄자,,수동,5.5m,고무피복
(39)마그네틱 줄자,줄자,,수동,,마그네틱
수평기,수평기,,수동,,
수평계,수평기,,수동,,
수평자,수평기,,수동,,
수평대,수평기,,수동,,
수평대(450mm),수평기,,수동,450mm,
수평대(디월트),수평기,디월트(DeWalt),수동,,
자석수평,수평기,,수동,,자석
SB 수평,수평기,,수동,,
거리측정기,레이저거리측정기,,배터리,,
(57)레이저거리측정기,레이저거리측정기,,배터리,,
보쉬 GLM 40 거리측정기,레이저거리측정기,보쉬(BOSCH),배터리,GLM 40,
보쉬 거리측정기,레이저거리측정기,보쉬(BOSCH),배터리,,
검전기,검전기,,배터리,,
검전드라이버,검전기,,배터리,,
라돈측정기,라돈측정기,,배터리,,
노기스,버니어캘리퍼스,,수동,,
그라인더,앵글그라인더,,유선,,
그라인다,앵글그라인더,,유선,,
4인치 그라인더,앵글그라인더,,유선,4인치,
그라인더(유선),앵글그라인더,,유선,,
디스크 그라인더,앵글그라인더,,유선,,
