"구분자(PK)","공구 대분류 코드","공구 대분류","공구 중분류 코드","공구 중분류","공구 이름","공구 모델","과금기준","요금","요금(과금기준 + 요금)","수량","장소 PK","대여장소명","상세주소","위치(위도,경도)","위도","경도","웹사이트주소","전화번호","평일오픈시간","평일클로즈시간","토요일오픈시간","토요일클로즈시간","일요일오픈시간","일요일클로즈시간","공휴일오픈시간","공휴일클로즈시간","생성일시"
"13423","4","기타공구","44","기타공구"," 고압세척기 ","","1회","0","무료","1","501","황학동 공구대여소 ","서울특별시 중구 황학동 1010","37.56742,127.02137","37.56742","127.02137","","02-3396-6909","1000","1700","","","","","","","20220614112916"
"14913","4","기타공구","44","기타공구","(57)레이저거리측정기","","1회","0","무료","1","172","우리마을 공구대여소(사당1동)","서울 동작구 동작대로17길 28","37.4830324,126.9765661","37.4830324","126.9765661","","02-820-2571","0900","1800","","","","","","","20220921154707"
"17332","4","기타공구","44","기타공구","12P 3종 기리세트(육각씽크)","","1회","0","무료","2","463","역촌동 공구도서관","서울특별시 은평구 연서로 59","37.6044046,126.915114","37.6044046","126.915114","","02-351-5304","0900","1800","","","","","","","20250724145326"
"14038","4","기타공구","44","기타공구","2단 사다리","","1회","0","무료","1","13214","묵1동 공유마을 공유대여소","공릉로2가길 5","37.6123734,127.0784729","37.6123734","127.0784729","","02-2094-6400","0900","1800","","","","","","","20220622120354"
"13678","4","기타공구","44","기타공구","3단사다리","","1회","0","무료","1","495","신당동주민센터 공구도서관","서울특별시 중구 신당동 300-6","37.5620364,127.0144345","37.5620364","127.0144345","","02-3396-6713","0900","1800","","","","","","","20220616172031"
"13677","4","기타공구","44","기타공구","4단사다리","","1회","0","무료","1","495","신당동주민센터 공구도서관","서울특별시 중구 신당동 300-6","37.5620364,127.0144345","37.5620364","127.0144345","","02-3396-6713","0900","1800","","","","","","","20220616172003"
"16092","4","기타공구","44","기타공구","4방향 냉동라쳇","","1회","0","무료","1","13025","삼성1동 주민센터 공구대여소","서울특별시 강남구 삼성동 161-2","37.5144372,127.0625398","37.5144372","127.0625398","","02-3423-7803","0900","1800","","","","","","","20231127103158"
"9988","4","기타공구","44","기타공구","4방향 냉동라쳇","","1회","0","무료","1","13022","도곡1동 주민센터","서울특별시 강남구 도곡동 892-6","37.488238,127.0390246","37.488238","127.0390246","","02-3423-7453","0900","1800","","","","","","","20181127135610"
"15168","4","기타공구","44","기타공구","50m 줄자","","1일","0","무료","2","455","불광2동 공구도서관","서울특별시 은평구 연서로41길 18","37.6263831,126.9272663","37.6263831","126.9272663","","02-351-5063","0900","1800","","","","","","","20221122164753"
"13571","4","기타공구","44","기타공구","LCD전자 현미경","","1일","0","1일 2000원","1","489","회현동 공구대여소","서울특별시 중구 회현동1가 164","37.5572864,126.9793216","37.5572864","126.9793216","","02-3396-6534","0900","1800","","","","","","","20220615093630"
"15470","4","기타공구","44","기타공구","LED 작업등","","1회","0","무료","1","13212","수색동주민센터","서울특별시 은평구 수색동 417-4","37.5835188,126.8936727","37.5835188","126.8936727","","02-351-5425","0900","1800","","","","","","","20230429124951"
"16323","4","기타공구","44","기타공구","LED 포토박스","","1일","0","1일 2000원","1","496","다산동주민센터 공구도서관","서울특별시 중구 신당동 432-24","37.55434,127.00828","37.55434","127.00828","","02-3396-8357","0900","1800","","","","","","","20240422190500"
"12457","4","기타공구","44","기타공구","LED랜턴","","1일","0","1일 1000원","3","13168","집수리지원센터 공구대여소(건축과)","서울특별시 성북구 삼선동5가 411","37.5894,127.016749","37.5894","127.016749","","02-2241-2923","0900","1800","","","","","","","20211001125914"
"17403","4","기타공구","44","기타공구","SDS 기리","","1회","0","무료","3","142","도봉2동 공구도서관 「공 구 합 니 다」","서울특별시 도봉구 도봉동 622-7","37.6696484,127.0443268","37.6696484","127.0443268","","02-2091-5834","0900","1800","","","","","","","20250825151802"
"2028","4","기타공구","44","기타공구","led 작업등","","1회","0","무료","1","457","갈현2동 공구도서관","서울특별시 은평구 연서로27길 31-6","37.6185866,126.9158385","37.6185866","126.9158385","","02-351-5124","0900","1800","","","","","","","20180123173300"
"2252","4","기타공구","44","기타공구","led 작업등","","1회","0","무료","1","468","진관동 공구도서관","서울특별시 은평구 진관2로 31(진관동주민센터)","37.6349324,126.9209775","37.6349324","126.9209775","","02-351-5477","0900","1800","","","","","","","20180123173300"
"15593","4","기타공구","44","기타공구","ㄷ형 타카핀","","1일","0","1일 200원","10","13320","성내1동주민센터","서울특별시 강동구 성내동 539-1","37.5304417,127.122425","37.5304417","127.122425","","02-3425-7772","0900","1800","","","","","","","20230504124139"
"12365","4","기타공구","44","기타공구","가스토치","","1일","0","1일 500원","1","2432","화곡6동 주민센터 공구대여소","서울특별시 강서구 화곡동 980-1","37.551864,126.8501598","37.551864","126.8501598","","02-2600-7665","0900","1800","","","","","","","20210930154438"
"15057","4","기타공구","44","기타공구","가열총(열풍기)","","1회","0","무료","1","334","우리동네 공구도서관(신길3동)","서울특별시 영등포구 신길동 268-27","37.5073,126.90775","37.5073","126.90775","","02-2670-1265","0900","1800","","","","","","","20221103154120"
"10917","4","기타공구","44","기타공구","가정용 공구세트","","1회","0","무료","2","13042","응암1동주민센터 공구대여소","서울특별시 은평구 응암동 96-3","37.6006884,126.926813","37.6006884","126.926813","","02-351-5232","0900","1800","","","","","","","20201125104005"
